alg;inst;score
heuristic;bur26g;0,935013856
heuristic;bur26g;0,935013856
heuristic;bur26g;0,935013856
heuristic;bur26g;0,935013856
heuristic;bur26g;0,935013856
heuristic;bur26g;0,935013856
heuristic;bur26g;0,935013856
heuristic;bur26g;0,935013856
heuristic;bur26g;0,935013856
heuristic;bur26g;0,935013856
heuristic;kra30a;0,526209224
heuristic;kra30a;0,526209224
heuristic;kra30a;0,526209224
heuristic;kra30a;0,526209224
heuristic;kra30a;0,526209224
heuristic;kra30a;0,526209224
heuristic;kra30a;0,526209224
heuristic;kra30a;0,526209224
heuristic;kra30a;0,526209224
heuristic;kra30a;0,526209224
heuristic;lipa50b;0,738565116
heuristic;lipa50b;0,738565116
heuristic;lipa50b;0,738565116
heuristic;lipa50b;0,738565116
heuristic;lipa50b;0,738565116
heuristic;lipa50b;0,738565116
heuristic;lipa50b;0,738565116
heuristic;lipa50b;0,738565116
heuristic;lipa50b;0,738565116
heuristic;lipa50b;0,738565116
heuristic;tai64c;0,173226548
heuristic;tai64c;0,173226548
heuristic;tai64c;0,173226548
heuristic;tai64c;0,173226548
heuristic;tai64c;0,173226548
heuristic;tai64c;0,173226548
heuristic;tai64c;0,173226548
heuristic;tai64c;0,173226548
heuristic;tai64c;0,173226548
heuristic;tai64c;0,173226548
heuristic;tai80a;0,858981621
heuristic;tai80a;0,858981621
heuristic;tai80a;0,858981621
heuristic;tai80a;0,858981621
heuristic;tai80a;0,858981621
heuristic;tai80a;0,858981621
heuristic;tai80a;0,858981621
heuristic;tai80a;0,858981621
heuristic;tai80a;0,858981621
heuristic;tai80a;0,858981621
heuristic;wil100;0,911001399
heuristic;wil100;0,911001399
heuristic;wil100;0,911001399
heuristic;wil100;0,911001399
heuristic;wil100;0,911001399
heuristic;wil100;0,911001399
heuristic;wil100;0,911001399
heuristic;wil100;0,911001399
heuristic;wil100;0,911001399
heuristic;wil100;0,911001399
heuristic;sko100c;0,83472427
heuristic;sko100c;0,83472427
heuristic;sko100c;0,83472427
heuristic;sko100c;0,83472427
heuristic;sko100c;0,83472427
heuristic;sko100c;0,83472427
heuristic;sko100c;0,83472427
heuristic;sko100c;0,83472427
heuristic;sko100c;0,83472427
heuristic;sko100c;0,83472427
heuristic;tho150;0,806065888
heuristic;tho150;0,806065888
heuristic;tho150;0,806065888
heuristic;tho150;0,806065888
heuristic;tho150;0,806065888
heuristic;tho150;0,806065888
heuristic;tho150;0,806065888
heuristic;tho150;0,806065888
heuristic;tho150;0,806065888
heuristic;tho150;0,806065888
greedy;bur26g;0,999751314
greedy;bur26g;0,99554668
greedy;bur26g;0,9955365
greedy;bur26g;0,999831277
greedy;bur26g;0,9955365
greedy;bur26g;0,999819119
greedy;bur26g;0,999760111
greedy;bur26g;0,997009639
greedy;bur26g;0,995444181
greedy;bur26g;0,997771709
greedy;kra30a;0,925646794
greedy;kra30a;0,927784027
greedy;kra30a;0,904611924
greedy;kra30a;0,932170979
greedy;kra30a;0,961192351
greedy;kra30a;0,925534308
greedy;kra30a;0,929133858
greedy;kra30a;0,954330709
greedy;kra30a;0,924746907
greedy;kra30a;0,949156355
greedy;lipa50b;0,816138729
greedy;lipa50b;0,815002595
greedy;lipa50b;0,817962328
greedy;lipa50b;0,810058137
greedy;lipa50b;0,802630709
greedy;lipa50b;0,817765674
greedy;lipa50b;0,810519201
greedy;lipa50b;0,814477081
greedy;lipa50b;0,814336613
greedy;lipa50b;0,815824743
greedy;tai64c;0,995761689
greedy;tai64c;0,995824191
greedy;tai64c;0,995761689
greedy;tai64c;0,997298387
greedy;tai64c;0,996818842
greedy;tai64c;0,999074318
greedy;tai64c;0,999074318
greedy;tai64c;0,998086133
greedy;tai64c;0,995281067
greedy;tai64c;0,999074318
greedy;tai80a;0,959823317
greedy;tai80a;0,972680652
greedy;tai80a;0,95656661
greedy;tai80a;0,962938852
greedy;tai80a;0,970156803
greedy;tai80a;0,956926843
greedy;tai80a;0,961274431
greedy;tai80a;0,965137281
greedy;tai80a;0,96472881
greedy;tai80a;0,960714756
greedy;wil100;0,989539918
greedy;wil100;0,992645712
greedy;wil100;0,992535838
greedy;wil100;0,992015763
greedy;wil100;0,99130524
greedy;wil100;0,994682059
greedy;wil100;0,992587112
greedy;wil100;0,992696987
greedy;wil100;0,995385258
greedy;wil100;0,993781085
greedy;sko100c;0,976708012
greedy;sko100c;0,989057364
greedy;sko100c;0,981753256
greedy;sko100c;0,982064357
greedy;sko100c;0,981874992
greedy;sko100c;0,991235071
greedy;sko100c;0,980955215
greedy;sko100c;0,985838146
greedy;sko100c;0,977735997
greedy;sko100c;0,989584883
greedy;tho150;0,976077656
greedy;tho150;0,978141225
greedy;tho150;0,982862695
greedy;tho150;0,983229081
greedy;tho150;0,985036425
greedy;tho150;0,984768643
greedy;tho150;0,983238671
greedy;tho150;0,983051543
greedy;tho150;0,978141225
greedy;tho150;0,982158937
steepest;bur26g;0,995942542
steepest;bur26g;0,987950585
steepest;bur26g;0,998018023
steepest;bur26g;0,997969195
steepest;bur26g;0,991289858
steepest;bur26g;0,997202874
steepest;bur26g;0,999639227
steepest;bur26g;0,999692108
steepest;bur26g;0,993402208
steepest;bur26g;0,995262807
steepest;kra30a;0,8712036
steepest;kra30a;0,90416198
steepest;kra30a;0,908098988
steepest;kra30a;0,911023622
steepest;kra30a;0,935320585
steepest;kra30a;0,910461192
steepest;kra30a;0,95095613
steepest;kra30a;0,921709786
steepest;kra30a;0,93352081
steepest;kra30a;0,910686164
steepest;lipa50b;0,812473352
steepest;lipa50b;0,817296347
steepest;lipa50b;0,814756363
steepest;lipa50b;0,810226698
steepest;lipa50b;0,814306041
steepest;lipa50b;0,813405396
steepest;lipa50b;0,814083772
steepest;lipa50b;0,818885283
steepest;lipa50b;0,808581575
steepest;lipa50b;0,81568097
steepest;tai64c;0,993892004
steepest;tai64c;0,997618442
steepest;tai64c;1
steepest;tai64c;0,995824191
steepest;tai64c;0,985661082
steepest;tai64c;0,995761689
steepest;tai64c;0,993892004
steepest;tai64c;0,999074318
steepest;tai64c;0,996818842
steepest;tai64c;0,994491166
steepest;tai80a;0,963557091
steepest;tai80a;0,967250888
steepest;tai80a;0,963949631
steepest;tai80a;0,956618093
steepest;tai80a;0,967868095
steepest;tai80a;0,958344913
steepest;tai80a;0,952635312
steepest;tai80a;0,957901186
steepest;tai80a;0,964056728
steepest;tai80a;0,959467657
steepest;wil100;0,985350025
steepest;wil100;0,989906167
steepest;wil100;0,986749097
steepest;wil100;0,98512295
steepest;wil100;0,988199445
steepest;wil100;0,988653594
steepest;wil100;0,986749097
steepest;wil100;0,986426798
steepest;wil100;0,987422996
steepest;wil100;0,986990822
steepest;sko100c;0,982794768
steepest;sko100c;0,974178626
steepest;sko100c;0,983295235
steepest;sko100c;0,972650174
steepest;sko100c;0,982172566
steepest;sko100c;0,974300361
steepest;sko100c;0,983741597
steepest;sko100c;0,97350232
steepest;sko100c;0,978277042
steepest;sko100c;0,964520972
steepest;tho150;0,980760766
steepest;tho150;0,975016856
steepest;tho150;0,976315931
steepest;tho150;0,980490771
